TYPECOM,COM,REG,DEP,TNCC,NCC,NCCENR,LIBELLE
COM,1355,84,1,0,SAINT GENIS SUR MENTHON,Saint-Genis-sur-Menthon,Saint-Genis-sur-Menthon
COM,1356,84,1,0,SAINT GEORGES SUR RENON,Saint-Georges-sur-Renon,Saint-Georges-sur-Renon
COM,1357,84,1,0,SAINT GERMAIN DE JOUX,Saint-Germain-de-Joux,Saint-Germain-de-Joux
COM,1358,84,1,0,SAINT GERMAIN LES PAROISSES,Saint-Germain-les-Paroisses,Saint-Germain-les-Paroisses
COM,1359,84,1,0,SAINT GERMAIN SUR RENON,Saint-Germain-sur-Renon,Saint-Germain-sur-Renon
COM,1360,84,1,0,SAINT JEAN DE GONVILLE,Saint-Jean-de-Gonville,Saint-Jean-de-Gonville
COM,1361,84,1,0,SAINT JEAN DE NIOST,Saint-Jean-de-Niost,Saint-Jean-de-Niost
COM,1362,84,1,0,SAINT JEAN DE THURIGNEUX,Saint-Jean-de-Thurigneux,Saint-Jean-de-Thurigneux
COM,1363,84,1,0,SAINT JEAN LE VIEUX,Saint-Jean-le-Vieux,Saint-Jean-le-Vieux
COM,1364,84,1,0,SAINT JEAN SUR REYSSOUZE,Saint-Jean-sur-Reyssouze,Saint-Jean-sur-Reyssouze
COM,1365,84,1,0,SAINT JEAN SUR VEYLE,Saint-Jean-sur-Veyle,Saint-Jean-sur-Veyle
COM,1366,84,1,0,SAINTE JULIE,Sainte-Julie,Sainte-Julie
COM,1367,84,1,0,SAINT JULIEN SUR REYSSOUZE,Saint-Julien-sur-Reyssouze,Saint-Julien-sur-Reyssouze
COM,1368,84,1,0,SAINT JULIEN SUR VEYLE,Saint-Julien-sur-Veyle,Saint-Julien-sur-Veyle
COM,1369,84,1,0,SAINT JUST,Saint-Just,Saint-Just
COM,1370,84,1,0,SAINT LAURENT SUR SAONE,Saint-Laurent-sur-Saône,Saint-Laurent-sur-Saône
COM,1371,84,1,0,SAINT MARCEL,Saint-Marcel,Saint-Marcel
COM,1372,84,1,0,SAINT MARTIN DE BAVEL,Saint-Martin-de-Bavel,Saint-Martin-de-Bavel
COM,1373,84,1,0,SAINT MARTIN DU FRENE,Saint-Martin-du-Frêne,Saint-Martin-du-Frêne
COM,1374,84,1,0,SAINT MARTIN DU MONT,Saint-Martin-du-Mont,Saint-Martin-du-Mont
COM,1375,84,1,0,SAINT MARTIN LE CHATEL,Saint-Martin-le-Châtel,Saint-Martin-le-Châtel
COM,1376,84,1,0,SAINT MAURICE DE BEYNOST,Saint-Maurice-de-Beynost,Saint-Maurice-de-Beynost
COM,1378,84,1,0,SAINT MAURICE DE GOURDANS,Saint-Maurice-de-Gourdans,Saint-Maurice-de-Gourdans
COM,1379,84,1,0,SAINT MAURICE DE REMENS,Saint-Maurice-de-Rémens,Saint-Maurice-de-Rémens
COM,1380,84,1,0,SAINT NIZIER LE BOUCHOUX,Saint-Nizier-le-Bouchoux,Saint-Nizier-le-Bouchoux
COM,1381,84,1,0,SAINT NIZIER LE DESERT,Saint-Nizier-le-Désert,Saint-Nizier-le-Désert
COM,1382,84,1,0,SAINTE OLIVE,Sainte-Olive,Sainte-Olive
COM,1383,84,1,0,SAINT PAUL DE VARAX,Saint-Paul-de-Varax,Saint-Paul-de-Varax
