COM,REG,DEP,TNCC,NCC,NCCENR
1385,84,1,0,SAINT REMY,Saint-Rémy
1386,84,1,0,SAINT SORLIN EN BUGEY,Saint-Sorlin-en-Bugey
1387,84,1,0,SAINT SULPICE,Saint-Sulpice
1388,84,1,0,SAINT TRIVIER DE COURTES,Saint-Trivier-de-Courtes
1389,84,1,0,SAINT TRIVIER SUR MOIGNANS,Saint-Trivier-sur-Moignans
1390,84,1,0,SAINT VULBAS,Saint-Vulbas
1391,84,1,0,SALAVRE,Salavre
1392,84,1,0,SAMOGNAT,Samognat
1393,84,1,0,SANDRANS,Sandrans
1396,84,1,0,SAULT BRENAZ,Sault-Brénaz
1397,84,1,0,SAUVERNY,Sauverny
1398,84,1,0,SAVIGNEUX,Savigneux
1399,84,1,0,SEGNY,Ségny
1400,84,1,0,SEILLONNAZ,Seillonnaz
1401,84,1,0,SERGY,Sergy
1402,84,1,0,SERMOYER,Sermoyer
1403,84,1,0,SERRIERES DE BRIORD,Serrières-de-Briord
1404,84,1,0,SERRIERES SUR AIN,Serrières-sur-Ain
1405,84,1,0,SERVAS,Servas
1406,84,1,0,SERVIGNAT,Servignat
1407,84,1,0,SEYSSEL,Seyssel
1408,84,1,0,SIMANDRE SUR SURAN,Simandre-sur-Suran
1410,84,1,0,SONTHONNAX LA MONTAGNE,Sonthonnax-la-Montagne
1411,84,1,0,SOUCLIN,Souclin
1412,84,1,0,SULIGNAT,Sulignat
1415,84,1,0,TALISSIEU,Talissieu
1416,84,1,0,TENAY,Tenay
1418,84,1,0,THIL,Thil
1419,84,1,0,THOIRY,Thoiry
1420,84,1,0,THOISSEY,Thoissey
1421,84,1,0,TORCIEU,Torcieu
1422,84,1,0,TOSSIAT,Tossiat
1423,84,1,0,TOUSSIEUX,Toussieux
1424,84,1,0,TRAMOYES,Tramoyes
1425,84,1,3,TRANCLIERE,Tranclière
1426,84,1,0,VAL REVERMONT,Val-Revermont
1427,84,1,0,TREVOUX,Trévoux
1428,84,1,0,VALEINS,Valeins
1429,84,1,0,VANDEINS,Vandeins
1430,84,1,0,VARAMBON,Varambon
1431,84,1,0,VAUX EN BUGEY,Vaux-en-Bugey
1432,84,1,0,VERJON,Verjon
1433,84,1,0,VERNOUX,Vernoux
1434,84,1,0,VERSAILLEUX,Versailleux
1435,84,1,0,VERSONNEX,Versonnex
1436,84,1,0,VESANCY,Vesancy
1437,84,1,0,VESCOURS,Vescours
1439,84,1,0,VESINES,Vésines
1441,84,1,0,VIEU D IZENAVE,Vieu-d'Izenave
1443,84,1,0,VILLARS LES DOMBES,Villars-les-Dombes
1444,84,1,0,VILLEBOIS,Villebois
1445,84,1,0,VILLEMOTIER,Villemotier
1446,84,1,0,VILLENEUVE,Villeneuve
1447,84,1,0,VILLEREVERSURE,Villereversure
1448,84,1,0,VILLES,Villes
1449,84,1,0,VILLETTE SUR AIN,Villette-sur-Ain
1450,84,1,0,VILLIEU LOYES MOLLON,Villieu-Loyes-Mollon
1451,84,1,0,VIRIAT,Viriat
1452,84,1,0,VIRIEU LE GRAND,Virieu-le-Grand
1453,84,1,1,ARVIERE EN VALROMEY,Arvière-en-Valromey
1454,84,1,0,VIRIGNIN,Virignin
1456,84,1,0,VONGNES,Vongnes
1457,84,1,0,VONNAS,Vonnas
2001,32,2,1,ABBECOURT,Abbécourt
2002,32,2,1,ACHERY,Achery
2003,32,2,1,ACY,Acy
2004,32,2,1,AGNICOURT ET SECHELLES,Agnicourt-et-Séchelles
2005,32,2,1,AGUILCOURT,Aguilcourt
2006,32,2,1,AISONVILLE ET BERNOVILLE,Aisonville-et-Bernoville
2007,32,2,1,AIZELLES,Aizelles
2008,32,2,1,AIZY JOUY,Aizy-Jouy
2009,32,2,1,ALAINCOURT,Alaincourt
2010,32,2,1,ALLEMANT,Allemant
2011,32,2,1,AMBLENY,Ambleny
2012,32,2,1,AMBRIEF,Ambrief
2013,32,2,1,AMIFONTAINE,Amifontaine
2014,32,2,1,AMIGNY ROUY,Amigny-Rouy
2015,32,2,1,ANCIENVILLE,Ancienville
2016,32,2,1,ANDELAIN,Andelain
2017,32,2,1,ANGUILCOURT LE SART,Anguilcourt-le-Sart
2018,32,2,1,ANIZY LE GRAND,Anizy-le-Grand
2019,32,2,1,ANNOIS,Annois
2020,32,2,1,ANY MARTIN RIEUX,Any-Martin-Rieux
2021,32,2,1,ARCHON,Archon
2022,32,2,1,ARCY SAINTE RESTITUE,Arcy-Sainte-Restitue
2023,32,2,1,ARMENTIERES SUR OURCQ,Armentières-sur-Ourcq
2024,32,2,1,ARRANCY,Arrancy
2025,32,2,1,ARTEMPS,Artemps
2027,32,2,1,ASSIS SUR SERRE,Assis-sur-Serre
2028,32,2,1,ATHIES SOUS LAON,Athies-sous-Laon
2029,32,2,1,ATTILLY,Attilly
2030,32,2,1,AUBENCHEUL AUX BOIS,Aubencheul-aux-Bois
2031,32,2,1,AUBENTON,Aubenton
2032,32,2,1,AUBIGNY AUX KAISNES,Aubigny-aux-Kaisnes
2033,32,2,1,AUBIGNY EN LAONNOIS,Aubigny-en-Laonnois
2034,32,2,1,AUDIGNICOURT,Audignicourt
2035,32,2,1,AUDIGNY,Audigny
2036,32,2,1,AUGY,Augy
2037,32,2,1,AULNOIS SOUS LAON,Aulnois-sous-Laon
2038,32,2,4,AUTELS,Autels
2039,32,2,1,AUTREMENCOURT,Autremencourt
2040,32,2,1,AUTREPPES,Autreppes
2041,32,2,1,AUTREVILLE,Autreville
2042,32,2,1,AZY SUR MARNE,Azy-sur-Marne
2043,32,2,0,BAGNEUX,Bagneux
2044,32,2,0,BANCIGNY,Bancigny
2046,32,2,0,BARENTON BUGNY,Barenton-Bugny
2047,32,2,0,BARENTON CEL,Barenton-Cel
2048,32,2,0,BARENTON SUR SERRE,Barenton-sur-Serre
2049,32,2,0,BARISIS AUX BOIS,Barisis-aux-Bois
2050,32,2,0,BARZY EN THIERACHE,Barzy-en-Thiérache
2051,32,2,0,BARZY SUR MARNE,Barzy-sur-Marne
